year,month,date,days_in_month
1991,12,1991-12-01,31
1992,1,1992-01-01,31
1992,2,1992-02-01,29
1992,3,1992-03-01,31
1992,4,1992-04-01,30
1992,5,1992-05-01,31
1992,6,1992-06-01,30
1992,7,1992-07-01,31
1992,8,1992-08-01,31
1992,9,1992-09-01,30
1992,10,1992-10-01,31
1992,11,1992-11-01,30
1992,12,1992-12-01,31
1993,1,1993-01-01,31
1993,2,1993-02-01,28
1993,3,1993-03-01,31
1993,4,1993-04-01,30
1993,5,1993-05-01,31
1993,6,1993-06-01,30
1993,7,1993-07-01,31
1993,8,1993-08-01,31
1993,9,1993-09-01,30
1993,10,1993-10-01,31
1993,11,1993-11-01,30
1993,12,1993-12-01,31
1994,1,1994-01-01,31
1994,2,1994-02-01,28
1994,3,1994-03-01,31
1994,4,1994-04-01,30
1994,5,1994-05-01,31
1994,6,1994-06-01,30
1994,7,1994-07-01,31
1994,8,1994-08-01,31
1994,9,1994-09-01,30
1994,10,1994-10-01,31
1994,11,1994-11-01,30
1994,12,1994-12-01,31
1995,1,1995-01-01,31
1995,2,1995-02-01,28
1995,3,1995-03-01,31
1995,4,1995-04-01,30
1995,5,1995-05-01,31
1995,6,1995-06-01,30
1995,7,1995-07-01,31
1995,8,1995-08-01,31
1995,9,1995-09-01,30
1995,10,1995-10-01,31
1995,11,1995-11-01,30
1995,12,1995-12-01,31
1996,1,1996-01-01,31
1996,2,1996-02-01,29
1996,3,1996-03-01,31
1996,4,1996-04-01,30
1996,5,1996-05-01,31
1996,6,1996-06-01,30
1996,7,1996-07-01,31
1996,8,1996-08-01,31
1996,9,1996-09-01,30
1996,10,1996-10-01,31
1996,11,1996-11-01,30
1996,12,1996-12-01,31
1997,1,1997-01-01,31
1997,2,1997-02-01,28
1997,3,1997-03-01,31
1997,4,1997-04-01,30
1997,5,1997-05-01,31
1997,6,1997-06-01,30
1997,7,1997-07-01,31
1997,8,1997-08-01,31
1997,9,1997-09-01,30
1997,10,1997-10-01,31
1997,11,1997-11-01,30
1997,12,1997-12-01,31
1998,1,1998-01-01,31
1998,2,1998-02-01,28
1998,3,1998-03-01,31
1998,4,1998-04-01,30
1998,5,1998-05-01,31
1998,6,1998-06-01,30
1998,7,1998-07-01,31
1998,8,1998-08-01,31
1998,9,1998-09-01,30
1998,10,1998-10-01,31
1998,11,1998-11-01,30
1998,12,1998-12-01,31
1999,1,1999-01-01,31
1999,2,1999-02-01,28
1999,3,1999-03-01,31
1999,4,1999-04-01,30
1999,5,1999-05-01,31
1999,6,1999-06-01,30
1999,7,1999-07-01,31
1999,8,1999-08-01,31
1999,9,1999-09-01,30
1999,10,1999-10-01,31
1999,11,1999-11-01,30
1999,12,1999-12-01,31
2000,1,2000-01-01,31
2000,2,2000-02-01,29
2000,3,2000-03-01,31
2000,4,2000-04-01,30
2000,5,2000-05-01,31
2000,6,2000-06-01,30
2000,7,2000-07-01,31
2000,8,2000-08-01,31
2000,9,2000-09-01,30
2000,10,2000-10-01,31
2000,11,2000-11-01,30
2000,12,2000-12-01,31
2001,1,2001-01-01,31
2001,2,2001-02-01,28
2001,3,2001-03-01,31
2001,4,2001-04-01,30
2001,5,2001-05-01,31
2001,6,2001-06-01,30
2001,7,2001-07-01,31
2001,8,2001-08-01,31
2001,9,2001-09-01,30
2001,10,2001-10-01,31
2001,11,2001-11-01,30
2001,12,2001-12-01,31
2002,1,2002-01-01,31
2002,2,2002-02-01,28
2002,3,2002-03-01,31
2002,4,2002-04-01,30
2002,5,2002-05-01,31
2002,6,2002-06-01,30
2002,7,2002-07-01,31
2002,8,2002-08-01,31
2002,9,2002-09-01,30
2002,10,2002-10-01,31
2002,11,2002-11-01,30
2002,12,2002-12-01,31
2003,1,2003-01-01,31
2003,2,2003-02-01,28
2003,3,2003-03-01,31
2003,4,2003-04-01,30
2003,5,2003-05-01,31
2003,6,2003-06-01,30
2003,7,2003-07-01,31
2003,8,2003-08-01,31
2003,9,2003-09-01,30
2003,10,2003-10-01,31
2003,11,2003-11-01,30
2003,12,2003-12-01,31
2004,1,2004-01-01,31
2004,2,2004-02-01,29
2004,3,2004-03-01,31
2004,4,2004-04-01,30
2004,5,2004-05-01,31
2004,6,2004-06-01,30
2004,7,2004-07-01,31
2004,8,2004-08-01,31
2004,9,2004-09-01,30
2004,10,2004-10-01,31
2004,11,2004-11-01,30
2004,12,2004-12-01,31
2005,1,2005-01-01,31
2005,2,2005-02-01,28
2005,3,2005-03-01,31
2005,4,2005-04-01,30
2005,5,2005-05-01,31
2005,6,2005-06-01,30
2005,7,2005-07-01,31
2005,8,2005-08-01,31
2005,9,2005-09-01,30
2005,10,2005-10-01,31
2005,11,2005-11-01,30
2005,12,2005-12-01,31
2006,1,2006-01-01,31
2006,2,2006-02-01,28
2006,3,2006-03-01,31
2006,4,2006-04-01,30
2006,5,2006-05-01,31
2006,6,2006-06-01,30
2006,7,2006-07-01,31
2006,8,2006-08-01,31
2006,9,2006-09-01,30
2006,10,2006-10-01,31
2006,11,2006-11-01,30
2006,12,2006-12-01,31
2007,1,2007-01-01,31
2007,2,2007-02-01,28
2007,3,2007-03-01,31
2007,4,2007-04-01,30
2007,5,2007-05-01,31
2007,6,2007-06-01,30
2007,7,2007-07-01,31
2007,8,2007-08-01,31
2007,9,2007-09-01,30
2007,10,2007-10-01,31
2007,11,2007-11-01,30
2007,12,2007-12-01,31
2008,1,2008-01-01,31
2008,2,2008-02-01,29
2008,3,2008-03-01,31
2008,4,2008-04-01,30
2008,5,2008-05-01,31
2008,6,2008-06-01,30
2008,7,2008-07-01,31
2008,8,2008-08-01,31
2008,9,2008-09-01,30
2008,10,2008-10-01,31
2008,11,2008-11-01,30
2008,12,2008-12-01,31
2009,1,2009-01-01,31
2009,2,2009-02-01,28
2009,3,2009-03-01,31
2009,4,2009-04-01,30
2009,5,2009-05-01,31
2009,6,2009-06-01,30
2009,7,2009-07-01,31
2009,8,2009-08-01,31
2009,9,2009-09-01,30
2009,10,2009-10-01,31
2009,11,2009-11-01,30
2009,12,2009-12-01,31
2010,1,2010-01-01,31
2010,2,2010-02-01,28
2010,3,2010-03-01,31
2010,4,2010-04-01,30
2010,5,2010-05-01,31
2010,6,2010-06-01,30
2010,7,2010-07-01,31
2010,8,2010-08-01,31
2010,9,2010-09-01,30
2010,10,2010-10-01,31
2010,11,2010-11-01,30
2010,12,2010-12-01,31
2011,1,2011-01-01,31
2011,2,2011-02-01,28
2011,3,2011-03-01,31
2011,4,2011-04-01,30
2011,5,2011-05-01,31
2011,6,2011-06-01,30
2011,7,2011-07-01,31
2011,8,2011-08-01,31
2011,9,2011-09-01,30
2011,10,2011-10-01,31
2011,11,2011-11-01,30
2011,12,2011-12-01,31
2012,1,2012-01-01,31
2012,2,2012-02-01,29
2012,3,2012-03-01,31
2012,4,2012-04-01,30
2012,5,2012-05-01,31
2012,6,2012-06-01,30
2012,7,2012-07-01,31
2012,8,2012-08-01,31
2012,9,2012-09-01,30
2012,10,2012-10-01,31
2012,11,2012-11-01,30
2012,12,2012-12-01,31
2013,1,2013-01-01,31
2013,2,2013-02-01,28
2013,3,2013-03-01,31
2013,4,2013-04-01,30
2013,5,2013-05-01,31
2013,6,2013-06-01,30
2013,7,2013-07-01,31
2013,8,2013-08-01,31
2013,9,2013-09-01,30
2013,10,2013-10-01,31
2013,11,2013-11-01,30
2013,12,2013-12-01,31
2014,1,2014-01-01,31
2014,2,2014-02-01,28
2014,3,2014-03-01,31
2014,4,2014-04-01,30
2014,5,2014-05-01,31
2014,6,2014-06-01,30
2014,7,2014-07-01,31
2014,8,2014-08-01,31
2014,9,2014-09-01,30
2014,10,2014-10-01,31
2014,11,2014-11-01,30
2014,12,2014-12-01,31
2015,1,2015-01-01,31
2015,2,2015-02-01,28
2015,3,2015-03-01,31
2015,4,2015-04-01,30
2015,5,2015-05-01,31
2015,6,2015-06-01,30
2015,7,2015-07-01,31
2015,8,2015-08-01,31
2015,9,2015-09-01,30
2015,10,2015-10-01,31
2015,11,2015-11-01,30
2015,12,2015-12-01,31
2016,1,2016-01-01,31
2016,2,2016-02-01,29
2016,3,2016-03-01,31
2016,4,2016-04-01,30
2016,5,2016-05-01,31
2016,6,2016-06-01,30
2016,7,2016-07-01,31
2016,8,2016-08-01,31
2016,9,2016-09-01,30
2016,10,2016-10-01,31
2016,11,2016-11-01,30
2016,12,2016-12-01,31
2017,1,2017-01-01,31
2017,2,2017-02-01,28
2017,3,2017-03-01,31
2017,4,2017-04-01,30
2017,5,2017-05-01,31
2017,6,2017-06-01,30
2017,7,2017-07-01,31
2017,8,2017-08-01,31
2017,9,2017-09-01,30
2017,10,2017-10-01,31
2017,11,2017-11-01,30
2017,12,2017-12-01,31
2018,1,2018-01-01,31
2018,2,2018-02-01,28
2018,3,2018-03-01,31
2018,4,2018-04-01,30
2018,5,2018-05-01,31
2018,6,2018-06-01,30
2018,7,2018-07-01,31
2018,8,2018-08-01,31
2018,9,2018-09-01,30
2018,10,2018-10-01,31
2018,11,2018-11-01,30
2018,12,2018-12-01,31
2019,1,2019-01-01,31
2019,2,2019-02-01,28
2019,3,2019-03-01,31
2019,4,2019-04-01,30
2019,5,2019-05-01,31
2019,6,2019-06-01,30
2019,7,2019-07-01,31
2019,8,2019-08-01,31
2019,9,2019-09-01,30
2019,10,2019-10-01,31
2019,11,2019-11-01,30
2019,12,2019-12-01,31
2020,1,2020-01-01,31
2020,2,2020-02-01,29
2020,3,2020-03-01,31
2020,4,2020-04-01,30
2020,5,2020-05-01,31
2020,6,2020-06-01,30
2020,7,2020-07-01,31
2020,8,2020-08-01,31
2020,9,2020-09-01,30
2020,10,2020-10-01,31
2020,11,2020-11-01,30
2020,12,2020-12-01,31
2021,1,2021-01-01,31
2021,2,2021-02-01,28
2021,3,2021-03-01,31
2021,4,2021-04-01,30
2021,5,2021-05-01,31
2021,6,2021-06-01,30
2021,7,2021-07-01,31
2021,8,2021-08-01,31
2021,9,2021-09-01,30
2021,10,2021-10-01,31
2021,11,2021-11-01,30
2021,12,2021-12-01,31
2022,1,2022-01-01,31
2022,2,2022-02-01,28
2022,3,2022-03-01,31
2022,4,2022-04-01,30
2022,5,2022-05-01,31
2022,6,2022-06-01,30
2022,7,2022-07-01,31
2022,8,2022-08-01,31
2022,9,2022-09-01,30
2022,10,2022-10-01,31
2022,11,2022-11-01,30
2022,12,2022-12-01,31
2023,1,2023-01-01,31
2023,2,2023-02-01,28
2023,3,2023-03-01,31
2023,4,2023-04-01,30
2023,5,2023-05-01,31
2023,6,2023-06-01,30
2023,7,2023-07-01,31
2023,8,2023-08-01,31
2023,9,2023-09-01,30
2023,10,2023-10-01,31
2023,11,2023-11-01,30
2023,12,2023-12-01,31
2024,1,2024-01-01,31
2024,2,2024-02-01,29
2024,3,2024-03-01,31
2024,4,2024-04-01,30
2024,5,2024-05-01,31
2024,6,2024-06-01,30
2024,7,2024-07-01,31
2024,8,2024-08-01,31
2024,9,2024-09-01,30
2024,10,2024-10-01,31
2024,11,2024-11-01,30
2024,12,2024-12-01,31
2025,1,2025-01-01,31
2025,2,2025-02-01,28
2025,3,2025-03-01,31
2025,4,2025-04-01,30
2025,5,2025-05-01,31
2025,6,2025-06-01,30
2025,7,2025-07-01,31
2025,8,2025-08-01,31
2025,9,2025-09-01,30
2025,10,2025-10-01,31
2025,11,2025-11-01,30
2025,12,2025-12-01,31
2026,1,2026-01-01,31
2026,2,2026-02-01,28
2026,3,2026-03-01,31
2026,4,2026-04-01,30
2026,5,2026-05-01,31
2026,6,2026-06-01,30
2026,7,2026-07-01,31
2026,8,2026-08-01,31
2026,9,2026-09-01,30
2026,10,2026-10-01,31
2026,11,2026-11-01,30
2026,12,2026-12-01,31
2027,1,2027-01-01,31
2027,2,2027-02-01,28
2027,3,2027-03-01,31
2027,4,2027-04-01,30
2027,5,2027-05-01,31
2027,6,2027-06-01,30
2027,7,2027-07-01,31
2027,8,2027-08-01,31
2027,9,2027-09-01,30
2027,10,2027-10-01,31
2027,11,2027-11-01,30
2027,12,2027-12-01,31
2028,1,2028-01-01,31
2028,2,2028-02-01,29
2028,3,2028-03-01,31
2028,4,2028-04-01,30
2028,5,2028-05-01,31
2028,6,2028-06-01,30
2028,7,2028-07-01,31
2028,8,2028-08-01,31
2028,9,2028-09-01,30
2028,10,2028-10-01,31
2028,11,2028-11-01,30
2028,12,2028-12-01,31
2029,1,2029-01-01,31
2029,2,2029-02-01,28
2029,3,2029-03-01,31
2029,4,2029-04-01,30
2029,5,2029-05-01,31
2029,6,2029-06-01,30
2029,7,2029-07-01,31
2029,8,2029-08-01,31
2029,9,2029-09-01,30
2029,10,2029-10-01,31
2029,11,2029-11-01,30
2029,12,2029-12-01,31
2030,1,2030-01-01,31
2030,2,2030-02-01,28
2030,3,2030-03-01,31
2030,4,2030-04-01,30
2030,5,2030-05-01,31
2030,6,2030-06-01,30
2030,7,2030-07-01,31
2030,8,2030-08-01,31
2030,9,2030-09-01,30
2030,10,2030-10-01,31
2030,11,2030-11-01,30
2030,12,2030-12-01,31
2031,1,2031-01-01,31
2031,2,2031-02-01,28
2031,3,2031-03-01,31
2031,4,2031-04-01,30
2031,5,2031-05-01,31
2031,6,2031-06-01,30
2031,7,2031-07-01,31
2031,8,2031-08-01,31
2031,9,2031-09-01,30
2031,10,2031-10-01,31
2031,11,2031-11-01,30
2031,12,2031-12-01,31
2032,1,2032-01-01,31
2032,2,2032-02-01,29
2032,3,2032-03-01,31
2032,4,2032-04-01,30
2032,5,2032-05-01,31
2032,6,2032-06-01,30
2032,7,2032-07-01,31
2032,8,2032-08-01,31
2032,9,2032-09-01,30
2032,10,2032-10-01,31
2032,11,2032-11-01,30
2032,12,2032-12-01,31
2033,1,2033-01-01,31
